Make,Model,Accident.Number,Event.Id,Aircraft.Category,Engine.Type,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Date,Year,Purpose.of.flight,Weather.Condition,Aircraft.damage,Broad.phase.of.flight,total_accidents,fatality_rate,Safety_Score
Piper,Pa-28R-201T,WPR12LA092,20120204X70647,Airplane,Reciprocating,1.0,0.0,3.0,0.0,0.0,2012-02-04,2012,Personal,VMC,Substantial,,3,0.0,100.0
Pipistrel,Virus 912,CEN12LA149,20120206X13727,Glider,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-02-04,2012,Personal,VMC,Substantial,,1,1.0,0.0
Robinson,R44,WPR12WA094,20120206X51100,,Reciprocating,,2.0,0.0,0.0,0.0,2012-02-04,2012,Aerial Observation,VMC,Destroyed,,167,0.011976047904191617,98.80239520958084
Bombardier,Cl600 2B19,DCA12CA035,20120207X34555,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,52.0,2012-02-04,2012,,VMC,Substantial,,6,0.0,100.0
Alon,A2,WPR12CA095,20120207X54430,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-02-04,2012,Personal,VMC,Substantial,,9,0.0,100.0
Cessna,R182,CEN12CA157,20120215X03549,Airplane,Reciprocating,1.0,0.0,1.0,0.0,0.0,2012-02-04,2012,Personal,VMC,Substantial,,31,0.0,100.0
Piper,Pa-18,CEN12CA148,20120206X10841,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-05,2012,Personal,VMC,Substantial,,18,0.0,100.0
Rockwell International,S-2R,WPR12CA103,20120214X84853,Airplane,Turbo Prop,1.0,0.0,0.0,0.0,1.0,2012-02-05,2012,Other Work Use,VMC,Substantial,,8,0.0,100.0
Mcdonnell Douglas,Md80 - 80,DCA12WA063,20120425X65340,Airplane,,,0.0,0.0,0.0,0.0,2012-02-05,2012,,,Minor,,4,0.0,100.0
Cessna,172N,WPR12LA093,20120205X10150,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-02-06,2012,Personal,VMC,Substantial,,99,0.010101010101010102,98.98989898989899
Moore Byron J,Zealot,ERA12LA171,20120206X63147,Glider,Reciprocating,1.0,0.0,0.0,1.0,0.0,2012-02-06,2012,Personal,VMC,Substantial,,1,0.0,100.0
Boeing,737,DCA12WA034,20120207X35615,,,,0.0,0.0,0.0,175.0,2012-02-06,2012,,,Minor,,395,0.0,100.0
Piper,Pa-30,ERA12LA188,20120221X04526,Airplane,Reciprocating,2.0,0.0,0.0,0.0,3.0,2012-02-06,2012,Personal,VMC,Substantial,,27,0.0,100.0
Piper,Pa-28-140,ERA12CA172,20120208X70838,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-07,2012,Personal,VMC,Substantial,,79,0.0,100.0
Aeropro Cz,Eurofox Lsa,ERA12CA173,20120208X91002,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-02-07,2012,Instructional,VMC,Substantial,,3,0.0,100.0
Boeing,737,DCA12WA036,20120210X60909,,,,0.0,0.0,0.0,131.0,2012-02-07,2012,,,,,395,0.0,100.0
Boeing,767,ENG12IA010,20120208X70842,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,210.0,2012-02-08,2012,,,,,39,0.0,100.0
Varga Aircraft Corp.,2150A,CEN12FA152,20120209X54747,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-02-08,2012,Personal,VMC,Substantial,,2,0.5,50.0
Maule,Mx-7-235,CEN12CA159,20120217X04436,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-08,2012,Personal,VMC,Substantial,,3,0.0,100.0
Cessna,T-210,CEN12WA688,20140117X05413,Airplane,Reciprocating,,0.0,0.0,0.0,0.0,2012-02-08,2012,,,Substantial,,1,0.0,100.0
Cessna,172M,WPR12LA099,20120209X14823,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-09,2012,Personal,VMC,Substantial,,90,0.0,100.0
Cessna,T182T,ERA12FA175,20120209X51439,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-02-09,2012,Personal,VMC,Substantial,,18,0.05555555555555555,94.44444444444444
Cessna,210,WPR12FA098,20120210X35329,Airplane,Reciprocating,1.0,2.0,0.0,0.0,0.0,2012-02-09,2012,Other Work Use,IMC,Substantial,,70,0.02857142857142857,97.14285714285714
Socata,Tbm 700,CEN12LA153,20120210X20307,Airplane,Turbo Prop,1.0,0.0,3.0,0.0,0.0,2012-02-10,2012,Personal,VMC,Substantial,,16,0.0,100.0
Cessna,172N,CEN12FA154,20120210X44432,Airplane,Reciprocating,1.0,1.0,0.0,0.0,0.0,2012-02-10,2012,Personal,VMC,Substantial,,99,0.010101010101010102,98.98989898989899
Cessna,172I,ANC12CA022,20120214X42025,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-10,2012,Personal,VMC,Substantial,,7,0.0,100.0
Cessna,152,ERA12CA178,20120214X94937,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-10,2012,Instructional,VMC,Substantial,,166,0.0,100.0
Schweizer,269C,WPR12CA100,20120211X73938,Helicopter,Reciprocating,1.0,0.0,2.0,0.0,0.0,2012-02-11,2012,Instructional,VMC,Substantial,,35,0.0,100.0
Learjet Inc,31A,WPR12CA101,20120211X92417,Airplane,Turbo Fan,2.0,0.0,0.0,0.0,4.0,2012-02-11,2012,,VMC,Substantial,,1,0.0,100.0
Liberty Aerospace Incorporate,Liberty Xl-2,CEN12WA155,20120214X93159,Airplane,,,2.0,0.0,0.0,0.0,2012-02-11,2012,Unknown,,Destroyed,,1,2.0,-100.0
Boeing,737,DCA12WA039,20120221X24141,Airplane,,2.0,0.0,0.0,0.0,0.0,2012-02-11,2012,,,,,395,0.0,100.0
Bombardier,60,ERA12WA200,20120301X81541,Airplane,,,0.0,0.0,0.0,6.0,2012-02-12,2012,,,Minor,,1,0.0,100.0
Piper,Pa-18-135,WPR12CA102,20120212X70015,Airplane,Reciprocating,1.0,0.0,1.0,0.0,1.0,2012-02-12,2012,Personal,VMC,Substantial,,11,0.0,100.0
Rockwell International,114,ERA12CA177,20120213X25540,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-02-12,2012,Personal,VMC,Substantial,,7,0.0,100.0
Gulfstream Aerospace,G-Iv,DCA12RA037,20120213X82241,Airplane,Turbo Fan,2.0,4.0,8.0,0.0,0.0,2012-02-12,2012,Personal,,Substantial,,2,2.0,-100.0
Robinson Helicopter,R44,ERA12CA179,20120214X33057,Helicopter,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-02-13,2012,Instructional,VMC,Substantial,,60,0.0,100.0
Mcdonnell Douglas,Md-10-30F,ENG12IA012,20120221X03231,Airplane,Turbo Fan,3.0,0.0,0.0,0.0,0.0,2012-02-13,2012,,Unk,Minor,,1,0.0,100.0
Zenair Ltd,Ch 2000,ERA12CA213,20120306X71346,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-02-13,2012,Instructional,VMC,Substantial,,3,0.0,100.0
Beech,G18,WPR12LA104,20120214X10923,Airplane,Reciprocating,2.0,0.0,0.0,0.0,2.0,2012-02-14,2012,Flight Test,VMC,Substantial,,2,0.0,100.0
Piper,Pa-28-180,CEN12FA158,20120215X12041,Airplane,Reciprocating,1.0,2.0,0.0,0.0,0.0,2012-02-14,2012,Personal,VMC,Substantial,,37,0.05405405405405406,94.5945945945946
Piper,Pa-32-260,ERA12LA180,20120215X32300,Airplane,Reciprocating,1.0,0.0,0.0,1.0,0.0,2012-02-14,2012,Personal,IMC,Substantial,,18,0.0,100.0
Fairchild,Sa-227,DCA12WA038,20120215X90442,Airplane,,2.0,0.0,0.0,0.0,4.0,2012-02-14,2012,,,Substantial,,2,0.0,100.0
Cessna,172S,ERA12CA185,20120220X95359,Airplane,Reciprocating,1.0,0.0,0.0,0.0,2.0,2012-02-14,2012,Instructional,VMC,Substantial,,117,0.0,100.0
Rockwell International,S-2R,WPR12CA112,20120221X43006,Airplane,Turbo Prop,1.0,0.0,0.0,0.0,1.0,2012-02-14,2012,Other Work Use,VMC,Substantial,,8,0.0,100.0
Cessna,172S,WPR12FA105,20120215X03230,Airplane,Reciprocating,1.0,3.0,0.0,0.0,0.0,2012-02-15,2012,Personal,VMC,Substantial,,117,0.02564102564102564,97.43589743589743
Bell,407,WPR12GA106,20120216X03340,Helicopter,Turbo Shaft,1.0,1.0,0.0,2.0,0.0,2012-02-15,2012,Public Aircraft - Local,VMC,Substantial,,64,0.015625,98.4375
Beech,58,ERA12CA182,20120216X25013,Airplane,Reciprocating,2.0,0.0,2.0,0.0,0.0,2012-02-15,2012,Personal,VMC,Substantial,,50,0.0,100.0
Embraer,Emb120,DCA12CA042,20120217X44044,Airplane,Turbo Prop,2.0,0.0,0.0,0.0,2.0,2012-02-16,2012,,VMC,Substantial,,4,0.0,100.0
Cessna,402B,ERA12IA187,20120221X93826,Airplane,Reciprocating,2.0,0.0,0.0,0.0,2.0,2012-02-16,2012,Personal,VMC,Minor,,7,0.0,100.0
Beech,95B55,ERA12WA238,20120320X63919,Airplane,,,4.0,0.0,0.0,0.0,2012-02-16,2012,,,Destroyed,,12,0.3333333333333333,66.66666666666667
Mooney,M20J,WPR12LA108,20120217X95311,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-17,2012,Personal,VMC,Substantial,,65,0.0,100.0
Mooney Airplane Co Inc,M20Tn,ERA12LA184,20120218X65637,Airplane,Reciprocating,1.0,0.0,1.0,1.0,0.0,2012-02-17,2012,Personal,VMC,Substantial,,10,0.0,100.0
Cessna,150J,ERA12LA186,20120220X10646,Airplane,Reciprocating,1.0,0.0,0.0,2.0,0.0,2012-02-17,2012,Instructional,VMC,Substantial,,15,0.0,100.0
Beech,95-B55,CEN12CA165,20120221X25729,Airplane,Reciprocating,2.0,0.0,0.0,0.0,1.0,2012-02-17,2012,Personal,VMC,Substantial,,5,0.0,100.0
Cessna,172N,ERA12LA191,20120222X92352,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-17,2012,Personal,VMC,Substantial,,99,0.0,100.0
Beech,1900D,ENG12IA014,20120312X10202,Airplane,Turbo Prop,2.0,0.0,0.0,0.0,0.0,2012-02-17,2012,,,Minor,,3,0.0,100.0
Eurocopter,As350,CEN12RA186,20120312X81134,Helicopter,,,1.0,0.0,0.0,0.0,2012-02-17,2012,Unknown,,Substantial,,9,0.1111111111111111,88.88888888888889
Lindstrand,Lbl180A,WPR12CA173,20120419X11425,Balloon,,0.0,0.0,0.0,0.0,9.0,2012-02-17,2012,Other Work Use,VMC,Substantial,,1,0.0,100.0
Cessna,180,CEN12CA160,20120218X81416,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-18,2012,Personal,VMC,Substantial,,135,0.0,100.0
Beech,C23,WPR12LA110,20120220X95734,Airplane,Reciprocating,1.0,0.0,0.0,0.0,3.0,2012-02-18,2012,Personal,VMC,Substantial,,26,0.0,100.0
Cessna,172S,ERA12CA189,20120221X23544,Airplane,Reciprocating,1.0,0.0,0.0,0.0,1.0,2012-02-18,2012,Instructional,VMC,Substantial,,117,0.0,100.0
